"","25","36","81","128","171","237","1251","1254","2499","13","19","141","158","170","1247","2779","28","179","1173","1249","1774","2823","20","145","175","318","366","379","577","732","735","1245","2555","107","280","378","443","1225","1261","111","294","370","698","702","827","838","1227","1645","21","23","206","285","364","595","693","849","1384","2730","209","419","692","1409","2787","319","598","704","706","1118","1385","1584","2395","392","599","691","989","1644","208","386","1461","2742","2964","210","272","447","700","811","1226","1445","532","836","1185","1698","2386","309","414","424","843","1255","1978","2776","2892","690","696","1776","229","335","363","389","529","641","667","720","737","1378","1585","1999","2496","2497","2528","68","136","1777","167","385","438","444","583","620","807","1145","1181","1980","410","642","1250","1321","1591","2739","203","268","306","733","1144","1568","1628","185","336","384","695","715","1562","2246","2641","2721","2743","154","223","383","411","480","582","586","712","714","831","1143","1228","1670","39","43","372","496","988","1151","1386","1632","2167","2245","2700","2766","137","257","348","526","527","566","694","724","745","1139","1290","1408","1446","2969","156","178","271","433","442","485","Patient.Type"
"P24_CD",342,221,107,109,50,5,7,2,19,221,804,461,307,37,7,19,42,13,299,23,54,1,92,264,99,2185,5,5,2,3,2,8,30,130,6,11,101,50,6,136,8,3,0,156,8,50,6,0,423,913,79,37,1487,14,149,22,211,16,7,31,15,0,71,0,6,0,6,2,1297,4,0,87,4,25,4,0,78,7,4,0,0,141,3,0,9,0,18,0,29,12,0,5,0,32,0,0,7,0,0,2,4,14,44,13,20,18,1829,252,7,21,22,31,0,5,0,0,14,3,2,16,102,0,151,0,18,24,6,1,0,35,30,0,2,9,7,69,3,0,71,30,99,0,35,0,106,63,19,16,7,31,8,6,0,0,0,0,31,23,0,0,0,2,23,31,4,18,12,71,0,0,19,13,0,0,120,49,0,0,26,123,15,0,26,24,3,0,0,5,0,36,0,10,0,4,0,0,1,0,8,0,"CD"
"P03_C",23,19,37,13,7,8,5,1,108,1001,91,10,86,10,7,108,2,20,1231,7,12,445,8,2,43,2773,4,4,7,5,2,2,0,21,21,0,4,63,4,20,2,0,128,64,2,10,2,0,33,0,12,36,8,22,183,2,3,4,5,32,31,7,4,14,2,35,5,2,3,2,2,0,7,0,2,4,4,5,0,5,9,7,0,0,25,2,7,11,0,11,9,5,0,0,6,9,4,0,0,4,1,5,27,0,16,0,0,0,3,0,9,0,0,0,2,1,0,0,0,16,5,5,0,0,1,0,5,0,0,5,1,1,0,0,5,36,4,2,0,12,6,5,5,0,2,0,0,0,28,21,0,13,2,0,2,4,2,0,1,0,2,6,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,26,3,4,0,0,0,0,0,0,0,1,4,0,0,"C"
"P10_C",116,10,129,12,12,11,4,2,92,623,68,16,63,10,7,92,20,43,693,5,38,49,21,5,6,1741,5,8,3,8,11,0,11,9,20,25,24,67,2,10,22,11,307,114,7,6,2,29,95,3,21,15,25,0,356,12,4,10,6,65,92,3,17,20,2,89,13,8,4,11,3,3,14,140,2,5,0,4,3,6,8,0,5,3,83,10,2,0,4,0,11,4,5,4,16,8,12,4,6,0,7,21,12,4,13,4,0,1,9,8,32,1,4,6,6,2,13,3,1,6,0,5,0,14,0,0,0,0,10,0,0,3,0,4,0,13,0,2,5,0,0,0,0,3,3,5,0,0,9,2,1,16,6,5,2,3,1,0,19,0,0,3,3,5,0,0,0,10,0,0,0,0,0,2,0,24,1,2,6,0,0,13,0,0,0,19,0,0,5,0,3,3,0,0,0,2,7,0,0,1,"C"
"P38_UC",137,2,121,104,44,32,4,6,20,53,123,41,63,53,2,20,153,14,109,14,26,2,66,23,31,768,7,28,4,0,0,8,37,1189,0,62,0,0,2,1002,46,9,56,14,0,3,4,4,425,11,6,12,75,10,51,6,0,2,0,0,10,48,27,2,2,0,0,2,0,0,0,4,2,16,2,1,12,4,19,0,1,6,0,16,15,0,6,2,10,2,0,0,0,70,0,0,1,0,0,11,1,1,0,8,12,7,191,0,0,25,0,3,2,5,0,0,9,2,3,11,548,0,22,0,10,0,1,6,7,13,118,0,21,0,0,16,1,0,63,1,4,0,13,2,35,284,10,11,2,1,3,0,0,1,0,0,0,13,0,4,0,4,0,0,4,10,1,145,0,0,51,10,2,10,0,15,0,0,0,595,2,0,73,0,0,39,0,0,0,5,0,0,0,7,0,0,0,15,0,0,"UC"
"P40_UC",369,97,117,127,58,44,14,10,24,171,876,2887,160,50,31,24,69,99,148,97,81,3,62,1649,63,2386,12,9,16,6,10,35,0,691,7,56,96,61,12,425,19,20,58,39,5,31,8,47,276,367,34,20,216,19,132,11,3,0,15,17,31,41,20,11,4,7,4,4,10,12,2,73,22,39,4,13,51,10,19,8,7,21,2,2,38,34,111,20,24,21,16,5,19,60,14,7,2,17,24,4,14,1,0,14,14,25,727,6,0,13,0,11,5,4,4,2,0,0,3,0,249,6,211,16,10,22,8,0,2,30,56,4,10,7,27,37,0,5,84,4,22,6,30,8,7,235,11,16,5,6,2,0,4,4,4,5,3,21,16,3,6,0,2,11,0,16,45,72,25,5,42,8,4,19,2,52,2,0,0,448,10,0,53,14,0,40,0,0,2,9,0,10,6,7,9,2,0,0,6,0,"UC"
"P35_UC",78,109,56,81,60,11,6,6,1,154,1467,322,153,79,8,0,197,25,153,13,0,2,232,164,424,537,4,10,2,0,0,11,6,4728,0,2,45,9,6,228,5,8,0,13,0,0,4,4,897,20,60,23,98,0,32,7,40,2,0,0,0,23,49,0,3,0,0,3,0,0,0,12,0,0,3,0,383,3,0,4,0,163,0,8,2,0,11,0,4,0,0,0,0,47,0,0,0,0,0,21,0,0,6,3,338,29,246,6,0,7,0,12,0,7,0,0,4,0,0,12,773,0,0,0,12,7,0,0,5,35,55,0,24,0,7,0,0,3,867,0,102,0,38,0,88,181,0,155,0,4,0,0,0,3,3,20,0,163,0,0,0,6,0,2,3,27,5,118,7,0,41,22,0,0,26,13,0,0,0,234,0,0,41,19,0,4,0,0,0,16,0,10,0,0,22,0,0,0,5,0,"UC"
"P28_CD",159,32,215,17,10,48,10,6,22,0,0,100,42,10,10,22,35,13,0,22,90,6,28,69,0,1948,8,11,24,6,11,6,29,9,9,25,20,56,2,62,62,0,298,145,27,39,4,62,163,15,110,0,60,34,409,17,3,19,9,76,59,22,37,13,7,134,11,6,4,25,6,10,16,120,6,44,0,5,5,7,13,0,4,21,95,14,11,38,0,0,59,8,19,30,19,12,0,0,26,0,18,23,29,10,0,0,30,0,6,0,27,29,0,24,8,8,33,13,7,15,23,7,0,0,0,4,19,16,0,0,11,2,7,0,10,0,0,5,0,14,0,0,0,0,0,19,22,0,20,6,6,0,7,9,4,1,21,0,34,4,0,3,12,2,0,0,6,3,0,5,2,0,6,0,2,0,0,4,0,6,0,4,7,0,5,0,0,0,8,0,0,10,1,15,1,9,4,17,0,3,"UC"
"P09_C",163,22,75,82,33,12,4,2,119,746,125,42,55,41,8,119,13,38,887,9,24,6,17,0,27,1644,9,0,11,7,13,5,22,19,39,11,7,73,2,7,9,0,358,142,15,17,2,0,116,3,9,20,15,25,0,18,9,5,26,36,99,4,22,19,6,73,7,8,9,1,3,3,12,147,5,14,0,0,10,0,10,0,4,2,0,8,5,4,3,0,0,7,5,3,11,5,5,4,5,10,13,52,54,0,9,1,0,3,4,3,52,2,4,5,0,0,21,6,1,13,2,9,122,11,0,0,0,3,4,5,3,7,5,3,0,10,3,0,0,6,4,0,5,3,0,0,5,0,0,10,3,18,0,0,0,3,3,0,0,3,3,0,3,18,0,5,0,0,0,2,0,0,3,3,4,18,1,1,3,0,29,4,0,0,0,0,0,0,2,0,0,3,4,5,2,0,6,0,0,2,"C"
"P15_C",569,35,61,105,44,11,8,3,105,520,115,330,61,59,13,105,10,16,634,34,48,54,13,180,46,3375,13,5,13,8,12,13,3,4,33,5,34,0,5,15,13,7,357,123,2,0,2,35,54,29,8,21,96,26,368,13,2,9,0,59,38,18,0,18,4,91,9,3,2,8,5,17,14,96,4,17,17,10,10,7,10,2,2,1,82,17,34,15,0,27,6,7,13,1,21,8,7,8,3,14,5,42,0,0,0,20,43,2,2,2,60,0,2,0,7,1,17,7,3,6,3,7,14,0,0,13,5,0,0,9,2,15,0,0,0,15,4,0,0,0,0,8,9,3,0,2,1,0,0,6,0,17,13,0,0,3,0,0,11,0,2,3,0,10,4,9,7,0,17,3,0,0,3,8,0,31,2,2,5,6,4,2,0,0,0,9,0,3,3,0,6,0,8,0,6,0,2,0,0,2,"C"
"P36_UC",43,28,86,31,18,12,6,4,6,172,1168,177,75,0,6,6,205,13,203,0,1,2,202,83,180,333,0,18,0,0,0,7,4,3573,0,0,29,3,0,1799,20,0,0,0,0,0,0,0,0,47,30,11,30,43,0,35,6,0,0,0,0,41,53,0,0,0,0,15,8,0,0,27,0,0,58,0,142,0,2,0,0,98,0,4,0,0,0,0,0,77,0,0,0,96,0,0,18,6,0,0,0,0,0,0,93,0,60,0,0,5,0,66,0,3,0,0,0,0,0,0,1666,0,38,0,15,6,0,0,8,26,111,0,23,6,0,153,4,0,632,1,67,0,0,0,42,311,0,35,0,0,0,0,0,0,0,15,0,39,0,0,0,70,28,0,0,27,1,123,0,0,55,20,0,0,3,2,0,0,0,407,3,0,68,2,0,20,0,0,0,34,0,0,0,0,11,0,0,0,0,0,"UC"
